"id","source","characterID","stateID","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt","CharDescrip"
1,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not part of","","","","coronoid","coronoid","http://purl.obolibrary.org/obo/UBERON:3000103","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
2,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not consist of","","","","tooth","calcareous tooth","http://purl.obolibrary.org/obo/UBERON:0001091","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
3,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not consist of","","","","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
4,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","tooth","calcareous tooth","http://purl.obolibrary.org/obo/UBERON:0001091","","","PATO:0000587","not small ","not(decreased size)","nullsize,decreased object quality","nullPATO:0000117,PATO:0002303","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
5,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","denticle","","","","","PATO:0000587","not small ","not(decreased size)","nullsize,decreased object quality","nullPATO:0000117,PATO:0002303","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
6,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","part of","","","","","","","coronoid","coronoid","http://purl.obolibrary.org/obo/UBERON:3000103","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
7,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","consist of","","","","","","","tooth","calcareous tooth","http://purl.obolibrary.org/obo/UBERON:0001091","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
8,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","consist of","","","","","","","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
9,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","tooth","calcareous tooth","http://purl.obolibrary.org/obo/UBERON:0001091","small ","decreased size","PATO:0000587","","","","","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
10,"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","denticle","","","small ","decreased size","PATO:0000587","","","","","denticle","","","","","","","Coronoids with a row of very small teeth or denticles lateral to tooth row"
