characterr,sentence,entityontoid,entitylabel,qualityontoid,qualitylabel
Posterior extent of EG,"posterior lobe of EG well developed, wrapped around caudal lobe of cerebellum, its posterior margin extending to a vertical with posterior margin of ELL",BSPO:0000072^OBO_REL:part_of(TAO:0002106),posterior region(part_of(eminentia granularis)),PATO:0001590,overlap with
Posterior extent of EG,"posterior lobe of EG well developed, wrapped around caudal lobe of cerebellum, its posterior margin extending to a vertical with posterior margin of ELL",BSPO:0000072^OBO_REL:part_of(TAO:0002106),posterior region(part_of(eminentia granularis)),PATO:0001590,overlap with
Posterior extent of EG,posterior margin of EG not extending to posterior margin of ELL,BSPO:0000072^OBO_REL:part_of(TAO:0002106),posterior region(part_of(eminentia granularis)),PATO:0001632,anterior to
Ascending process of endopterygoid,lateral surface of endopterygoid smooth; no ascending process ossified in pterygocranial ligament (connecting endopterygoid with neurocranium),BSPO:0000005^OBO_REL:part_of(TAO:0000657),anatomical surface(part_of(entopterygoid)),PATO:0000150,texture
Endopterygoid shape,endopterygoid long and narrow; position of ascending process posterior to midlength of endopterygoid; anterior tip pointed,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0000052,shape
Endopterygoid shape,endopterygoid long and narrow; position of ascending process posterior to midlength of endopterygoid; anterior tip pointed,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0000052,shape
Endopterygoid shape,endopterygoid relatively short and deep; position of ascending process (or ligament) at about midlength of endopterygoid; anterior tip of endopterygoid blunt,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0001950,blunt
Endopterygoid shape,endopterygoid relatively short and deep; position of ascending process (or ligament) at about midlength of endopterygoid; anterior tip of endopterygoid blunt,BSPO:0000671^OBO_REL:part_of(TAO:0000657),anterior margin(part_of(entopterygoid)),PATO:0001950,blunt
Metapterygoid posterior margin,posterior border of metapterygoid separated from hyomandibula by an unossified gap or with a cartilaginous margin,BSPO:0000672^OBO_REL:part_of(TAO:0000240),posterior margin(part_of(metapterygoid)),PATO:0001505,separated from
Metapterygoid posterior margin,posterior border of metapterygoid separated from hyomandibula by an unossified gap or with a cartilaginous margin,BSPO:0000672^OBO_REL:part_of(TAO:0000240),posterior margin(part_of(metapterygoid)),PATO:0001505,separated from
