id,term,ontoid,ontolabel,characterr,characterstate,source
1,abducen,,,character,"external foramen for abducen nerves :",earlyevolutionofarchosaurs-1.xml_c5346ba7-1a50-4221-9c1b-7e2496e4da98.txt-0
2,abducens,,,character,"parabasisphenoid , external foramina for passage of abducens nerves :",earlyevolutionofarchosaurs-1.xml_da0c54ff-d5b2-4830-835f-f38e8f03ea01.txt-0
3,accessory,,,character,"middle caudal vertebrae , accessory laminar process on anterior face of neural spine :",earlyevolutionofarchosaurs-1.xml_574cc8ed-7d2a-4524-878c-f7faab8a41b0.txt-0
4,accessory,,,description,"posterior cervical and / or dorsal vertebrae , hyposphene_hypantrum accessory intervertebral articulations :",earlyevolutionofarchosaurs-1.xml_ba926a3f-3a58-44d1-87a9-6d35f1f947b3_4fa26e43-6af0-4aff-8b3b-e91678affd3e.txt-0
5,accessory,,,character,"hemal accessory articulations",Anderson_2007.xml_61c6c2e1-3cb6-4bee-bd86-b0ad263d824a.txt-0
6,accessory,,,character,"atlas accessory articulation",Anderson_2007.xml_94a364d0-93f3-463d-81e2-59079fa4cf9f.txt-0
7,accessory,,,character,"accessory ossicle",Anderson_2007.xml_9cc19a65-9770-4c62-a695-d6dd19ef164f.txt-0
8,accessory,,,character,"number of accessory vertebral articulations",Anderson_2007.xml_a6a2a3a4-75a0-4a47-8d6e-c6e1ae0bb4be.txt-0
9,accessory,,,character,"accessory tooth rows on dentary",Swartz_2012.xml_6bc4c69d-ed71-46a0-bdb1-2fe03b1e99b8.txt-0
10,acetabular,,,character,"ilium , crest dorsal to the supra_acetabular crest",earlyevolutionofarchosaurs-1.xml_0119909b-b258-4b6f-8a3b-3e89b2f935aa.txt-0
11,acetabular,,,description,"ilium , crest dorsal to the supra_acetabular crest / rim :",earlyevolutionofarchosaurs-1.xml_0119909b-b258-4b6f-8a3b-3e89b2f935aa_0c1914c3-2289-4083-9b6a-2fcd1e059e71.txt-0
12,acetabular,,,character,"ilium , dorsal margin dorsal to the supra_acetabular rim :",earlyevolutionofarchosaurs-1.xml_1abd9d25-d1c4-452c-a999-d395485d6bfc.txt-0
13,acetabular,,,character,"ilium , supra_acetabular crest :",earlyevolutionofarchosaurs-1.xml_55019252-34be-40c4-88bc-5a77d7f4150d.txt-0
14,acetabular,,,character,"ilium , crest dorsal to the supra_acetabular crest :",earlyevolutionofarchosaurs-1.xml_6f05616d-bd1d-42da-a452-e69f3dc667cb.txt-0
15,acetabular,,,character,"ilium , ridge connecting the posterior portion of the supra_acetabular rim to the posterior portion of the ilium :",earlyevolutionofarchosaurs-1.xml_a0854baf-9922-4078-856a-aa18434c6018.txt-0
16,acetabular,,,character,"ilium , crest dorsal to the supra_acetabular crest",earlyevolutionofarchosaurs-1.xml_ca3d8594-81d4-4b9f-b1b0-c74fb4117cee.txt-0
17,acetabular,,,description,"ilium , crest dorsal to the supra_acetabular crest / rim :",earlyevolutionofarchosaurs-1.xml_ca3d8594-81d4-4b9f-b1b0-c74fb4117cee_ed86063a-13ee-4dac-a82a-0400fd69c935.txt-0
