"source","characterid","stateid","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt"
"Anderson 2007.xml_states1002.xml","states1002","state1004","long","femur","femur","UBERON:0000981","long","size","PATO:0000117","","","","","","","","","","",""
"Anderson 2007.xml_states1002.xml","states1002","state1005","short","femur","femur","UBERON:0000981","short","decreased length;decreased height","PATO:0000574;PATO:0000569","","","","","","","","","","",""
"Anderson 2007.xml_states1006.xml","states1006","state1008","present","distal tibia expansion","tibia","UBERON:0000979","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1006.xml","states1006","state1009","absent","distal tibia expansion","tibia","UBERON:0000979","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1010.xml","states1010","state1012","ossified","tarsal","tarsal bone","UBERON:0001447","ossified","ossified","PATO:0001448","","","","","","","","","","",""
"Anderson 2007.xml_states1010.xml","states1010","state1013","unossified","tarsal ossification","ossification","GO:0001503","unossified","","","","","","","","","","","tarsal bone","UBERON:0001447",""
"Anderson 2007.xml_states1014.xml","states1014","state1016","6","distal tarsal","distal tarsal bone","UBERON:0010721","6","count","PATO:0000070","","","","","","","","","","","6"
"Anderson 2007.xml_states1014.xml","states1014","state1017","5 or fewer","distal tarsal","distal tarsal bone","UBERON:0010721","5 or fewer","count","PATO:0000070","","","","","","","","","","","5 or fewer"
"Anderson 2007.xml_states1018.xml","states1018","state1020","absent","astragalus","fibulare;talus","UBERON:0012126;UBERON:0002395","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1018.xml","states1018","state1021","present","astragalus","fibulare;talus","UBERON:0012126;UBERON:0002395","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1022.xml","states1022","state1024","5 or more","digit","digit","UBERON:0002544","5 or more","count","PATO:0000070","","","","","","","","","","","5 or more"
"Anderson 2007.xml_states1022.xml","states1022","state1024","5 or more","pe","","","5 or more","count","PATO:0000070","","","","","","","","","","","5 or more"
"Anderson 2007.xml_states1022.xml","states1022","state1025","4 or fewer","digit","digit","UBERON:0002544","4 or fewer","count","PATO:0000070","","","","","","","","","","","4 or fewer"
"Anderson 2007.xml_states1022.xml","states1022","state1025","4 or fewer","pe","","","4 or fewer","count","PATO:0000070","","","","","","","","","","","4 or fewer"
"Anderson 2007.xml_states1026.xml","states1026","state1028","25-35","presacral","","","25-35","count","PATO:0000070","","","","","","","","","","","25-35"
"Anderson 2007.xml_states1026.xml","states1026","state1029","less than 25","presacral","","","25 less than","count","PATO:0000070","","","","","","","","","","","25 less than"
"Anderson 2007.xml_states1026.xml","states1026","state1030","greater than 35","presacral","","","35 greater than","count","PATO:0000070","","","","","","","","","","","35 greater than"
"Anderson 2007.xml_states1031.xml","states1031","state1033","greater than 70 mm","basal skull","skull","UBERON:0003129","70 mm greater than","count","PATO:0000070","","","","","","","","","","","70 mm greater than"
"Anderson 2007.xml_states1031.xml","states1031","state1034","50-70 mm","basal skull","skull","UBERON:0003129","50-70 mm","count","PATO:0000070","","","","","","","","","","","50-70 mm"
"Anderson 2007.xml_states1031.xml","states1031","state1035","30-50 mm","basal skull","skull","UBERON:0003129","30-50 mm","count","PATO:0000070","","","","","","","","","","","30-50 mm"
"Anderson 2007.xml_states1031.xml","states1031","state1036","less than 30 mm","basal skull","skull","UBERON:0003129","30 mm less than","count","PATO:0000070","","","","","","","","","","","30 mm less than"
"Anderson 2007.xml_states1037.xml","states1037","state1039","greater than or equal to 0.45","skull/trunk","skull","UBERON:0003129","0.45 greater than or equal to","count","PATO:0000070","","","","","","","","","","","0.45 greater than or equal to"
"Anderson 2007.xml_states1037.xml","states1037","state1040","0.30-0.45","skull/trunk","skull","UBERON:0003129","0.30-0.45","count","PATO:0000070","","","","","","","","","","","0.30-0.45"
"Anderson 2007.xml_states1037.xml","states1037","state1041","0.20-0.29","skull/trunk","skull","UBERON:0003129","0.20-0.29","count","PATO:0000070","","","","","","","","","","","0.20-0.29"
"Anderson 2007.xml_states1037.xml","states1037","state1042","less than 0.20","skull/trunk","skull","UBERON:0003129","0.20 less than","count","PATO:0000070","","","","","","","","","","","0.20 less than"
"Anderson 2007.xml_states1043.xml","states1043","state1045","absent","tooth","calcareous tooth","UBERON:0001091","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1043.xml","states1043","state1046","present","tooth","calcareous tooth","UBERON:0001091","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1047.xml","states1047","state1049","absent","lateral region","lateral lumbar region of abdomen","UBERON:0000180","absent","absent","PATO:0000462","","","","","","","","process,palatal pterygoid",",pterygoid",",UBERON:3000521",""
"Anderson 2007.xml_states1047.xml","states1047","state1049","absent","palatal pterygoid","pterygoid","UBERON:3000521","absent","absent","PATO:0000462","","","","","","","","palatal pterygoid","palate bone,pterygoid","UBERON:0012071,UBERON:3000521",""
"Anderson 2007.xml_states1047.xml","states1047","state1050","present","lateral region","lateral lumbar region of abdomen","UBERON:0000180","present","present","PATO:0000467","","","","","","","","process,palatal pterygoid",",pterygoid",",UBERON:3000521",""
"Anderson 2007.xml_states1047.xml","states1047","state1050","present","palatal pterygoid","pterygoid","UBERON:3000521","present","present","PATO:0000467","","","","","","","","palatal pterygoid","palate bone,pterygoid","UBERON:0012071,UBERON:3000521",""
"Anderson 2007.xml_states1051.xml","states1051","state1053","absent","lep","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1051.xml","states1051","state1054","present","lep","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1055.xml","states1055","state1057","absent","semilunar flange","lunate","UBERON:0001428","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1055.xml","states1055","state1058","present","semilunar flange","lunate","UBERON:0001428","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1059.xml","states1059","state1061","absent","supratympanic flange","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1059.xml","states1059","state1062","present trematopid","trematopid","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1059.xml","states1059","state1063","present dissorophid","dissorophid","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1064.xml","states1064","state1066","absent","supratympanic shelf","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1064.xml","states1064","state1067","present","supratympanic shelf","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1068.xml","states1068","state1070","narrow","parasphenoid-vomer articulation","articulation","UBERON:0004905","narrow","decreased width","PATO:0000599","","","","","","","","","","",""
"Anderson 2007.xml_states1068.xml","states1068","state1071","broad","parasphenoid-vomer articulation","articulation","UBERON:0004905","broad","broad","PATO:0002359","","","","","","","","","","",""
"Anderson 2007.xml_states1072.xml","states1072","state1074","open","otic notch","","","open","open","PATO:0000610","","","","","","","","","","",""
"Anderson 2007.xml_states1072.xml","states1072","state1074","open","posterior margin","posterior margin","BSPO:0000672","open","open","PATO:0000610","","","","","","","","","","",""
"Anderson 2007.xml_states1072.xml","states1072","state1075","closed","otic notch","","","closed","closed","PATO:0000608","","","","","","","","","","",""
"Anderson 2007.xml_states1072.xml","states1072","state1075","closed","posterior margin","posterior margin","BSPO:0000672","closed","closed","PATO:0000608","","","","","","","","","","",""
"Anderson 2007.xml_states1076.xml","states1076","state1078","present","lacrimal-jugal","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1076.xml","states1076","state1079","absent","lacrimal-jugal","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1080.xml","states1080","state1082","irregular trapezoid","postorbital","postorbital bone","UBERON:0011169","irregular","","","","","","","","","","","","",""
"Anderson 2007.xml_states1080.xml","states1080","state1082","irregular trapezoid","postorbital","postorbital bone","UBERON:0011169","trapezoid","trapezoid","PATO:0002044","","","","","","","","","","",""
"Anderson 2007.xml_states1080.xml","states1080","state1083","triangular, apex caudal","apex","","","caudal","caudate","PATO:0001880","","","","","","","","","","",""
"Anderson 2007.xml_states1080.xml","states1080","state1083","triangular, apex caudal","postorbital","postorbital bone","UBERON:0011169","triangular","triangular","PATO:0001875","","","","","","","","","","",""
"Anderson 2007.xml_states1084.xml","states1084","state1086","absent","internarial vacuity","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson 2007.xml_states1084.xml","states1084","state1087","present","internarial vacuity","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1088.xml","states1088","state1090","circular","external naris","external naris","UBERON:3000983","circular","circular","PATO:0000411","","","","","","","","","","",""
"Anderson 2007.xml_states1088.xml","states1088","state1091","extended along lateral-prefrontal suture","suture","cranial suture","UBERON:0003685","lateral-","lateral to","PATO:0001193","","","","","","","","","","",""
"Anderson 2007.xml_states1088.xml","states1088","state1091","extended along lateral-prefrontal suture","external naris","external naris","UBERON:3000983","extended","","","","","","","suture","cranial suture","UBERON:0003685","","","",""
"Anderson 2007.xml_states1093.xml","states1093","state1095","present","pterygoid-vomer","","","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson 2007.xml_states1093.xml","states1093","state1096","absent","pterygoid-vomer","","","absent","absent","PATO:0000462","","","","","","","","","","",""
