"source","characterid","stateid","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt"
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","u2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not part of","","","","coronoid","coronoid bone","UBERON:0011598","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","u2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not consist of","","","","tooth","calcareous tooth","UBERON:0001091","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","u2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","row","","","","","","not consist of","","","","denticle","","","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","u2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","tooth","calcareous tooth","UBERON:0001091","","","","not very","","","","denticle","","","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","u2d48136f-44c1-49c2-b6dc-78a09a5f81da","no","denticle","","","","","","not very","","","","denticle","","","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","part of","","","","","","","coronoid","coronoid bone","UBERON:0011598","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","consist of","","","","","","","tooth","calcareous tooth","UBERON:0001091","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","row","","","consist of","","","","","","","denticle","","","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","tooth","calcareous tooth","UBERON:0001091","very","","","","","","","denticle","","","","","",""
"Swartz_2012.xml_001b42bd-f057-413a-ada3-b44fe4d04e21.xml","u001b42bd-f057-413a-ada3-b44fe4d04e21","f69b0b52-a8a4-4bbb-a3b3-140f0c2f2ab6","yes","denticle","","","very","","","","","","","denticle","","","","","",""
"Swartz_2012.xml_006f88b6-b9c4-48ce-b83f-7c677ed527fe.xml","u006f88b6-b9c4-48ce-b83f-7c677ed527fe","u703d400c-3b19-4112-acb4-6013b2788092","branched","posterior radial","","","branched","branched","PATO:0000402","","","","","","","","posterior dorsal fin","","",""
"Swartz_2012.xml_006f88b6-b9c4-48ce-b83f-7c677ed527fe.xml","u006f88b6-b9c4-48ce-b83f-7c677ed527fe","u703d400c-3b19-4112-acb4-6013b2788092","branched","posterior dorsal fin","dorsal fin","UBERON:0003097","branched","branched","PATO:0000402","","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz_2012.xml_006f88b6-b9c4-48ce-b83f-7c677ed527fe.xml","u006f88b6-b9c4-48ce-b83f-7c677ed527fe","ecbbb81f-559d-459a-873d-6a207b21340e","not branched","posterior radial","","","not branched","","","not branched","","","","","","","posterior dorsal fin","","",""
"Swartz_2012.xml_006f88b6-b9c4-48ce-b83f-7c677ed527fe.xml","u006f88b6-b9c4-48ce-b83f-7c677ed527fe","ecbbb81f-559d-459a-873d-6a207b21340e","not branched","posterior dorsal fin","dorsal fin","UBERON:0003097","not branched","","","not branched","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz_2012.xml_00b96445-0fe9-490b-8f17-3a7a555a4fd7.xml","u00b96445-0fe9-490b-8f17-3a7a555a4fd7","u032f2b88-04e1-4ed5-8ccb-4962c37ba6d0","no","coronoid contact","","","","","","not splenial","","","","","","","","","",""
"Swartz_2012.xml_00b96445-0fe9-490b-8f17-3a7a555a4fd7.xml","u00b96445-0fe9-490b-8f17-3a7a555a4fd7","u6b1c247f-13b2-4427-b1eb-5b80a71f03b3","yes","coronoid contact","","","splenial","","","","","","","","","","","","",""
"Swartz_2012.xml_0184da9b-9477-4e5b-97b8-527ce9cdbef4.xml","u0184da9b-9477-4e5b-97b8-527ce9cdbef4","u05edb3f8-a9e5-40f8-bace-1611049f6c63","absent","jugal-quadratojugal contact","","","absent","absent","PATO:0000462","","","","","","","","","","",""
