"source","characterid","stateid","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt"
"Anderson_2007.xml_002ac90c-03b5-4e99-8789-e06d66375187.xml","u002ac90c-03b5-4e99-8789-e06d66375187","b9485a70-7609-4d8e-933b-b6da4cb00d99","absent","enamel","enamel","UBERON:0001752","absent","absent","PATO:0000462","","","","","","","","","","",""
"Anderson_2007.xml_002ac90c-03b5-4e99-8789-e06d66375187.xml","u002ac90c-03b5-4e99-8789-e06d66375187","e12f6b3e-5c8c-474d-b4d0-3f5cab427a5a","present","enamel","enamel","UBERON:0001752","present","present","PATO:0000467","","","","","","","","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","u59daa9a6-d092-444f-afc6-cf8d06c4abc3","contacts","prefrontal","prefrontal bone","UBERON:0010750","contacts","","","","","","","external naris","external naris","UBERON:0005928","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","u59daa9a6-d092-444f-afc6-cf8d06c4abc3","contacts","external naris","external naris","UBERON:0005928","contacts","","","","","","","","","","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","u651b7d9c-b528-479c-92d5-81ff535249ee","near","prefrontal","prefrontal bone","UBERON:0010750","near","","","","","","","external naris","external naris","UBERON:0005928","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","u651b7d9c-b528-479c-92d5-81ff535249ee","near","external naris","external naris","UBERON:0005928","near","","","","","","","","","","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","a3b696b4-9498-45b4-8c3e-b28b061020b2","distant from","prefrontal","prefrontal bone","UBERON:0010750","distant","","","","","","","external naris","external naris","UBERON:0005928","","","",""
"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","u00a22185-99f4-45ef-93c9-f8b46e3c1f48","a3b696b4-9498-45b4-8c3e-b28b061020b2","distant from","external naris","external naris","UBERON:0005928","distant","","","","","","","","","","","","",""
"Anderson_2007.xml_00b1e1ff-1785-4e5a-8db6-60e6be4d5c24.xml","u00b1e1ff-1785-4e5a-8db6-60e6be4d5c24","u00ca810e-473d-47fd-b960-e235613dfcad","widely divergent","tabular horn","horn","UBERON:0006967","divergent widely","","","","","","","","","","","tabular bone","UBERON:0011631",""
"Anderson_2007.xml_00b1e1ff-1785-4e5a-8db6-60e6be4d5c24.xml","u00b1e1ff-1785-4e5a-8db6-60e6be4d5c24","u95fae14e-4fae-4052-881d-d7d03cd2cca9","parallel","tabular horn","horn","UBERON:0006967","parallel","","","","","","","","","","","tabular bone","UBERON:0011631",""
"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","u043eca46-6ada-412c-b990-804ae185950e","u0ba4f07a-0818-41f9-9d29-9ed6c21bd613","narrowly bifurcate","blade","","","bifurcate narrowly","","","","","","","","","","","","",""
"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","u043eca46-6ada-412c-b990-804ae185950e","u14e14230-7871-4528-8663-94a932858231","2 dorsal processes","dorsal region","dorsal region","BSPO:0000079","2","count","PATO:0000070","","","","","","","","process,","","","2"
"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","u043eca46-6ada-412c-b990-804ae185950e","u719b0b19-2fa6-497c-86a9-7e95565bb1f6","single blade","blade","","","single","","","","","","","","","","","","",""
"Anderson_2007.xml_0449c92b-fca2-4d27-8260-cc9b53a6b242.xml","u0449c92b-fca2-4d27-8260-cc9b53a6b242","u27bf67d7-9254-4daf-afe8-d8aade120371","narrowly separated","internal naris","internal naris","UBERON:0010425","separated narrowly","","","","","","","","","","","","",""
"Anderson_2007.xml_0449c92b-fca2-4d27-8260-cc9b53a6b242.xml","u0449c92b-fca2-4d27-8260-cc9b53a6b242","u869ad936-ebcb-416e-a197-732054116be9","widely separated","internal naris","internal naris","UBERON:0010425","separated widely","","","","","","","","","","","","",""
