"source","characterid","stateid","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt"
"Swartz 2012.xml_states1000.xml","states1000","state1002","present","anal fin","anal fin","UBERON:2001162","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states1000.xml","states1000","state1003","absent","anal fin","anal fin","UBERON:2001162","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1004.xml","states1004","state1006","not branched","posterior radial","posterior radial","UBERON:3000952","not branched","","","not branched","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz 2012.xml_states1004.xml","states1004","state1006","not branched","posterior dorsal fin","dorsal fin","UBERON:0003097","not branched","","","not branched","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz 2012.xml_states1004.xml","states1004","state1007","branched","posterior radial","posterior radial","UBERON:3000952","branched","branched","PATO:0000402","","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz 2012.xml_states1004.xml","states1004","state1007","branched","posterior dorsal fin","dorsal fin","UBERON:0003097","branched","branched","PATO:0000402","","","","","","","","posterior dorsal fin","dorsal fin","UBERON:0003097",""
"Swartz 2012.xml_states1008.xml","states1008","state1010","heterocercal","caudal fin","caudal fin","UBERON:2001058","heterocercal","","","","","","","","","","","","",""
"Swartz 2012.xml_states1008.xml","states1008","state1011","diphycercal","caudal fin","caudal fin","UBERON:2001058","diphycercal","","","","","","","","","","","","",""
"Swartz 2012.xml_states1012.xml","states1012","state1014","absent","radial","radial","UBERON:2000271","absent","absent","PATO:0000462","","","","","","","","caudal fin","caudal fin","UBERON:2001058",""
"Swartz 2012.xml_states1012.xml","states1012","state1014","absent","caudal fin","caudal fin","UBERON:2001058","absent","absent","PATO:0000462","","","","","","","","caudal fin","caudal fin","UBERON:2001058",""
"Swartz 2012.xml_states1012.xml","states1012","state1015","present","radial","radial","UBERON:2000271","present","present","PATO:0000467","","","","","","","","caudal fin","caudal fin","UBERON:2001058",""
"Swartz 2012.xml_states1012.xml","states1012","state1015","present","caudal fin","caudal fin","UBERON:2001058","present","present","PATO:0000467","","","","","","","","caudal fin","caudal fin","UBERON:2001058",""
"Swartz 2012.xml_states1016.xml","states1016","state1018","tuberculate","Nature of dermal ornament","","","tuberculate","","","","","","","","","","","","",""
"Swartz 2012.xml_states1016.xml","states1016","state1019","fairly regular pit and ridge","pit","","","regular fairly","","","","","","","","","","","","",""
"Swartz 2012.xml_states1016.xml","states1016","state1019","fairly regular pit and ridge","ridge","","","regular fairly","","","","","","","","","","","","",""
"Swartz 2012.xml_states1016.xml","states1016","state1020","irregular","Nature of dermal ornament","","","irregular","","","","","","","","","","","","",""
"Swartz 2012.xml_states1016.xml","states1016","state1021","absent or almost absent","Nature of dermal ornament","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1016.xml","states1016","state1021","absent or almost absent","Nature of dermal ornament","","","absent almost","","","","","","","","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1024","no","starburst","","","","","","not part of","","","","ornament","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1024","no","ornament","","","","","","not radiating","","","","ornament","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1024","no","bone","","","","","","not some ","","","","ornament","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1025","yes","starburst","","","part of","","","","","","","ornament","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1025","yes","ornament","","","radiating","","","","","","","ornament","","","","","",""
"Swartz 2012.xml_states1022.xml","states1022","state1025","yes","bone","","","some","","","","","","","ornament","","","","","",""
"Swartz 2012.xml_states1026.xml","states1026","state1028","present","Cleithral ornamentation","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states1026.xml","states1026","state1029","absent","Cleithral ornamentation","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1030.xml","states1030","state1032","absent","basal scute","scute","UBERON:2002294","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1030.xml","states1030","state1033","present","basal scute","scute","UBERON:2002294","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states1034.xml","states1034","state1037","round","body scale","scale","UBERON:0002542","round","circular","PATO:0000411","","","","","","","","","multi-cellular organism","UBERON:0000468",""
"Swartz 2012.xml_states1038.xml","states1038","state1040","complete body covering of scales","body","multi-cellular organism","UBERON:0000468","complete","","","","","","","","","","","","",""
"Swartz 2012.xml_states1038.xml","states1038","state1040","complete body covering of scales","body","multi-cellular organism","UBERON:0000468","covering","","","","","","","scale","scale","UBERON:0002542","","","",""
"Swartz 2012.xml_states1038.xml","states1038","state1041","ventral armour of gastralia","squamation","","","ventral","","","","","","","gastralium","","","","","",""
"Swartz 2012.xml_states1042.xml","states1042","state1044","none","tooth","calcareous tooth","UBERON:0001091","0","count","PATO:0000070","","","","","","","","","","","0"
"Swartz 2012.xml_states1042.xml","states1042","state1045","generalized polyplocodont","tooth","calcareous tooth","UBERON:0001091","generalized","","","","","","","","","","","","",""
"Swartz 2012.xml_states1042.xml","states1042","state1046","labyrinthodont","tooth","calcareous tooth","UBERON:0001091","labyrinthodont","","","","","","","","","","","","",""
"Swartz 2012.xml_states1042.xml","states1042","state1047","dendrodont","tooth","calcareous tooth","UBERON:0001091","dendrodont","","","","","","","","","","","","",""
"Swartz 2012.xml_states1048.xml","states1048","state1050","present","cosmine","cosmine","UBERON:4000087","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states1048.xml","states1048","state1051","absent","cosmine","cosmine","UBERON:4000087","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1052.xml","states1052","state1054","absent","line","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states1052.xml","states1052","state1055","present","line","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1058","posteroventral distally terminating near jaw joint","jaw joint","jaw skeleton","UBERON:0001708","terminating","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1058","posteroventral distally terminating near jaw joint","hyomandibula","","","posteroventral distally","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1059","almost horizontal orientation opercular process high up dorsally","opercular process","","","horizontal almost","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1059","almost horizontal orientation opercular process high up dorsally","opercular process","","","high dorsally","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1060","very short laterally directed","hyomandibula","","","very","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1060","very short laterally directed","hyomandibula","","","short laterally","","","","","","","","","","","","",""
"Swartz 2012.xml_states1056.xml","states1056","state1060","very short laterally directed","hyomandibula","","","directed","","","","","","","","","","","","",""
"Swartz 2012.xml_states200.xml","states200","state202","fully ossified","ethmoid region","ethmoid region","UBERON:0011241","ossified fully","","","","","","","","","","","","",""
"Swartz 2012.xml_states200.xml","states200","state203","partly or wholly unossified","ethmoid region","ethmoid region","UBERON:0011241","unossified partly wholly","","","","","","","","","","","","",""
"Swartz 2012.xml_states204.xml","states204","state206","absent","Rostral tubuli","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states204.xml","states204","state207","present","Rostral tubuli","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states208.xml","states208","state210","small","profundus foramen","anatomical conduit","UBERON:0004111","small","decreased size","PATO:0000587","","","","","","","","postnasal wall",",postnasal wall",",UBERON:3000454",""
"Swartz 2012.xml_states208.xml","states208","state210","small","postnasal wall","postnasal wall","UBERON:3000454","small","decreased size","PATO:0000587","","","","","","","","postnasal wall","postnasal wall","UBERON:3000454",""
"Swartz 2012.xml_states208.xml","states208","state211","large","profundus foramen","anatomical conduit","UBERON:0004111","large","increased size","PATO:0000586","","","","","","","","postnasal wall",",postnasal wall",",UBERON:3000454",""
"Swartz 2012.xml_states208.xml","states208","state211","large","postnasal wall","postnasal wall","UBERON:3000454","large","increased size","PATO:0000586","","","","","","","","postnasal wall","postnasal wall","UBERON:3000454",""
"Swartz 2012.xml_states212.xml","states212","state214","ventral to ethmoid articulation in posterior view","fenestra","fenestra","UBERON:0004705","ventral to","ventral to","PATO:0001196","","","","","ethmoid articulation","mesethmoid bone;ethmoid bone","UBERON:0011238;UBERON:0001679","","","",""
"Swartz 2012.xml_states212.xml","states212","state215","extends dorsal to ethmoid articulation in posterior view post nasal wall unossified","nasal wall ossification","","","unossified","","","","","","","","","","","","",""
"Swartz 2012.xml_states212.xml","states212","state215","extends dorsal to ethmoid articulation in posterior view post nasal wall unossified","fenestra","fenestra","UBERON:0004705","extends","","","","","","","ethmoid articulationnasal wall","mesethmoid bone;ethmoid bone","UBERON:0011238;UBERON:0001679","","","",""
"Swartz 2012.xml_states216.xml","states216","state218","anterior to basipterygoid process","fenestra","fenestra","UBERON:0004705","anterior to","anterior to","PATO:0001632","","","","","basipterygoid process","basipterygoid process of parasphenoid","UBERON:2001607","","","",""
"Swartz 2012.xml_states216.xml","states216","state219","dorsal to basipterygoid process","fenestra","fenestra","UBERON:0004705","dorsal to","dorsal to","PATO:0001233","","","","","basipterygoid process","basipterygoid process of parasphenoid","UBERON:2001607","","","",""
"Swartz 2012.xml_states220.xml","states220","state222","does not reach posterior margin of tabular","crista","","","not reach positioposterior","","","not reach positioposterior","","","","margin,tabular","anatomical margin,extrascapula","BSPO:0000006,UBERON:2000663","","","",""
"Swartz 2012.xml_states224.xml","states224","state226","absent","intracranial joint","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states224.xml","states224","state227","present","intracranial joint","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states228.xml","states228","state230","absent","basicranial fenestra","basicranial fenestra","UBERON:3000037","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states228.xml","states228","state231","present","basicranial fenestra","basicranial fenestra","UBERON:3000037","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states232.xml","states232","state234","absent","descenden","sphenoid bone","UBERON:0001677","absent","absent","PATO:0000462","","","","","","","","sphenoid","","",""
"Swartz 2012.xml_states232.xml","states232","state234","absent","sphenoid","sphenoid bone","UBERON:0001677","absent","absent","PATO:0000462","","","","","","","","sphenoid","sphenoid bone","UBERON:0001677",""
"Swartz 2012.xml_states232.xml","states232","state235","present","descenden","sphenoid bone","UBERON:0001677","present","present","PATO:0000467","","","","","","","","sphenoid","","",""
"Swartz 2012.xml_states232.xml","states232","state235","present","sphenoid","sphenoid bone","UBERON:0001677","present","present","PATO:0000467","","","","","","","","sphenoid","sphenoid bone","UBERON:0001677",""
"Swartz 2012.xml_states236.xml","states236","state238","large","opening","parasphenoid","UBERON:0004745","large","increased size","PATO:0000586","","","","","","","","parasphenoid","","",""
"Swartz 2012.xml_states236.xml","states236","state238","large","parasphenoid","parasphenoid","UBERON:0004745","large","increased size","PATO:0000586","","","","","","","","parasphenoid","parasphenoid","UBERON:0004745",""
"Swartz 2012.xml_states236.xml","states236","state239","small","opening","parasphenoid","UBERON:0004745","small","decreased size","PATO:0000587","","","","","","","","parasphenoid","","",""
"Swartz 2012.xml_states236.xml","states236","state239","small","parasphenoid","parasphenoid","UBERON:0004745","small","decreased size","PATO:0000587","","","","","","","","parasphenoid","parasphenoid","UBERON:0004745",""
"Swartz 2012.xml_states236.xml","states236","state240","absent","opening","parasphenoid","UBERON:0004745","absent","absent","PATO:0000462","","","","","","","","parasphenoid","","",""
"Swartz 2012.xml_states236.xml","states236","state240","absent","parasphenoid","parasphenoid","UBERON:0004745","absent","absent","PATO:0000462","","","","","","","","parasphenoid","parasphenoid","UBERON:0004745",""
"Swartz 2012.xml_states241.xml","states241","state243","narrow","tectum","superior colliculus;midbrain tectum","UBERON:0001945;UBERON:0002314","narrow","decreased width","PATO:0000599","","","","","","","","","","",""
"Swartz 2012.xml_states241.xml","states241","state244","extensive","tectum","superior colliculus;midbrain tectum","UBERON:0001945;UBERON:0002314","extensive","","","","","","","","","","","","",""
"Swartz 2012.xml_states245.xml","states245","state247","not strongly projecting with concave anterior face","anterior face","","","concave","concave","PATO:0001857","","","","","","","","","","",""
"Swartz 2012.xml_states245.xml","states245","state247","not strongly projecting with concave anterior face","basipterygoid process","basipterygoid process of parasphenoid","UBERON:2001607","not projecting  strongly","","","not projecting [ strongly]","","","","anterior face","","","","","",""
"Swartz 2012.xml_states245.xml","states245","state248","strongly projecting with flat anterior face","anterior face","","","flat","flat","PATO:0000407","","","","","","","","","","",""
"Swartz 2012.xml_states245.xml","states245","state248","strongly projecting with flat anterior face","basipterygoid process","basipterygoid process of parasphenoid","UBERON:2001607","projecting strongly","","","","","","","anterior face","","","","","",""
"Swartz 2012.xml_states249.xml","states249","state251","solid side wall pierced by small foramina for pituitary vein and other vessels","side wall","","","solid","solid configuration","PATO:0001736","","","","","","","","","","",""
"Swartz 2012.xml_states249.xml","states249","state251","solid side wall pierced by small foramina for pituitary vein and other vessels","side wall","","","pierced","perforate","PATO:0002112","","","","","foramen,pituitary vein","anatomical conduit,vein","UBERON:0004111,UBERON:0001638","","","",""
"Swartz 2012.xml_states249.xml","states249","state251","solid side wall pierced by small foramina for pituitary vein and other vessels","foramen","anatomical conduit","UBERON:0004111","small","decreased size","PATO:0000587","","","","","pituitary vein","vein","UBERON:0001638","","","",""
"Swartz 2012.xml_states249.xml","states249","state252","single large foramen","foramen","anatomical conduit","UBERON:0004111","single","","","","","","","","","","","","",""
"Swartz 2012.xml_states249.xml","states249","state252","single large foramen","foramen","anatomical conduit","UBERON:0004111","large","increased size","PATO:0000586","","","","","","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state255","present","otic capsule","","","present","present","PATO:0000467","","","","","hyomandibular facet","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state255","present","lateral commissure","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state255","present","hyomandibular facet","","","present","present","PATO:0000467","","","","","","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state256","absent","otic capsule","","","absent","absent","PATO:0000462","","","","","hyomandibular facet","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state256","absent","lateral commissure","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states253.xml","states253","state256","absent","hyomandibular facet","","","absent","absent","PATO:0000462","","","","","","","","","","",""
"Swartz 2012.xml_states257.xml","states257","state259","dorsal directly above ventral","hyomandibular facet","","","dorsal directly ventral","","","","","","","","","","","","",""
"Swartz 2012.xml_states257.xml","states257","state260","ventral anterior to dorsal","hyomandibular facet","","","ventral","","","","","","","","","","","","",""
"Swartz 2012.xml_states257.xml","states257","state260","ventral anterior to dorsal","hyomandibular facet","","","dorsal","dorsal to","PATO:0001233","","","","","","","","","","",""
"Swartz 2012.xml_states257.xml","states257","state261","dorsal anterior to ventral","hyomandibular facet","","","dorsal","dorsal to","PATO:0001233","","","","","","","","","","",""
"Swartz 2012.xml_states257.xml","states257","state261","dorsal anterior to ventral","hyomandibular facet","","","ventral","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","coronoid","coronoid bone","UBERON:0011598","denticulated","","","","","","","","","","","","",""
"Swartz 2012.xml_states262.xml","states262","state264","long sutured to coronoid denticulated or with tooth row","coronoid","coronoid bone","UBERON:0011598","with tooth row","","","","","","","","","","","","",""
