"id","source","characterID","stateID","description","entity","entitylabel","entityid","quality","qualitylabel","qualityid","qualitynegated","qualitynegatedlabel","qnparentlabel","qnparentid","qualitymodifier","qualitymodifierlabel","qualitymodifierid","entitylocator","entitylocatorlabel","entitylocatorid","countt","CharDescrip"
1,"Anderson_2007.xml_002ac90c-03b5-4e99-8789-e06d66375187.xml","002ac90c-03b5-4e99-8789-e06d66375187","b9485a70-7609-4d8e-933b-b6da4cb00d99","absent","enamel fluting","enamel","http://purl.obolibrary.org/obo/UBERON:0001752","absent","absent","PATO:0000462","","","","","","","","","","","","Enamel fluting"
2,"Anderson_2007.xml_002ac90c-03b5-4e99-8789-e06d66375187.xml","002ac90c-03b5-4e99-8789-e06d66375187","e12f6b3e-5c8c-474d-b4d0-3f5cab427a5a","present","enamel fluting","enamel","http://purl.obolibrary.org/obo/UBERON:0001752","present","present","PATO:0000467","","","","","","","","","","","","Enamel fluting"
3,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","59daa9a6-d092-444f-afc6-cf8d06c4abc3","contacts","prefrontal","prefrontal bone","http://purl.obolibrary.org/obo/UBERON:0010750","contacts","","","","","","","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","","","","","Prefrontal to external naris"
4,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","59daa9a6-d092-444f-afc6-cf8d06c4abc3","contacts","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","contacts","","","","","","","","","","","","","","Prefrontal to external naris"
5,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","651b7d9c-b528-479c-92d5-81ff535249ee","near","prefrontal","prefrontal bone","http://purl.obolibrary.org/obo/UBERON:0010750","near","","","","","","","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","","","","","Prefrontal to external naris"
6,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","651b7d9c-b528-479c-92d5-81ff535249ee","near","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","near","","","","","","","","","","","","","","Prefrontal to external naris"
7,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","a3b696b4-9498-45b4-8c3e-b28b061020b2","distant from","prefrontal","prefrontal bone","http://purl.obolibrary.org/obo/UBERON:0010750","distant","","","","","","","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","","","","","Prefrontal to external naris"
8,"Anderson_2007.xml_00a22185-99f4-45ef-93c9-f8b46e3c1f48.xml","00a22185-99f4-45ef-93c9-f8b46e3c1f48","a3b696b4-9498-45b4-8c3e-b28b061020b2","distant from","external naris","external naris","http://purl.obolibrary.org/obo/UBERON:3000983","distant","","","","","","","","","","","","","","Prefrontal to external naris"
9,"Anderson_2007.xml_00b1e1ff-1785-4e5a-8db6-60e6be4d5c24.xml","00b1e1ff-1785-4e5a-8db6-60e6be4d5c24","00ca810e-473d-47fd-b960-e235613dfcad","widely divergent","horn","horn","http://purl.obolibrary.org/obo/UBERON:0006967","divergent [widely]","","","","","","","","","","","","","","Tabular horns"
10,"Anderson_2007.xml_00b1e1ff-1785-4e5a-8db6-60e6be4d5c24.xml","00b1e1ff-1785-4e5a-8db6-60e6be4d5c24","95fae14e-4fae-4052-881d-d7d03cd2cca9","parallel","horn","horn","http://purl.obolibrary.org/obo/UBERON:0006967","parallel","","","","","","","","","","","","","","Tabular horns"
11,"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","043eca46-6ada-412c-b990-804ae185950e","0ba4f07a-0818-41f9-9d29-9ed6c21bd613","narrowly bifurcate","iliac blade","iliac blade","http://purl.obolibrary.org/obo/UBERON:0010746","bifurcate [narrowly]","","","","","","","","","","","","","","Iliac blade"
12,"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","043eca46-6ada-412c-b990-804ae185950e","14e14230-7871-4528-8663-94a932858231","2 dorsal processes","dorsal process","oblique cartilage","http://purl.obolibrary.org/obo/UBERON:3000329","2","count","PATO:0000070","","","","","","","","","","","2","Iliac blade"
13,"Anderson_2007.xml_043eca46-6ada-412c-b990-804ae185950e.xml","043eca46-6ada-412c-b990-804ae185950e","719b0b19-2fa6-497c-86a9-7e95565bb1f6","single blade","blade","","","single","","","","","","","","","","","","","","Iliac blade"
14,"Anderson_2007.xml_0449c92b-fca2-4d27-8260-cc9b53a6b242.xml","0449c92b-fca2-4d27-8260-cc9b53a6b242","27bf67d7-9254-4daf-afe8-d8aade120371","narrowly separated","internal naris","internal naris","http://purl.obolibrary.org/obo/UBERON:0010425","separated [narrowly]","","","","","","","","","","","","","","Internal nares"
15,"Anderson_2007.xml_0449c92b-fca2-4d27-8260-cc9b53a6b242.xml","0449c92b-fca2-4d27-8260-cc9b53a6b242","869ad936-ebcb-416e-a197-732054116be9","widely separated","internal naris","internal naris","http://purl.obolibrary.org/obo/UBERON:0010425","separated [widely]","","","","","","","","","","","","","","Internal nares"
16,"Anderson_2007.xml_0507311c-938c-439c-b3f9-e67db037ec17.xml","0507311c-938c-439c-b3f9-e67db037ec17","386b609d-e5d1-4739-b651-22ad6fc33d6e","present","Parietal-tabular contact","","","present","present","PATO:0000467","","","","","","","","","","","","Parietal-tabular contact"
17,"Anderson_2007.xml_0507311c-938c-439c-b3f9-e67db037ec17.xml","0507311c-938c-439c-b3f9-e67db037ec17","aadb572c-852c-4b48-8a6f-fb79ba9d2afd","absent","Parietal-tabular contact","","","absent","absent","PATO:0000462","","","","","","","","","","","","Parietal-tabular contact"
18,"Anderson_2007.xml_07ea47b9-054e-4a6b-8cd0-8e3c0a68809d.xml","07ea47b9-054e-4a6b-8cd0-8e3c0a68809d","af63bb2a-81c5-4606-b5e9-4f912b487099","present","denticle","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","present","present","PATO:0000467","","","","","","","","pterygoid","","","","Denticles on pterygoid"
19,"Anderson_2007.xml_07ea47b9-054e-4a6b-8cd0-8e3c0a68809d.xml","07ea47b9-054e-4a6b-8cd0-8e3c0a68809d","af63bb2a-81c5-4606-b5e9-4f912b487099","present","pterygoid","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","present","present","PATO:0000467","","","","","","","","pterygoid","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","","Denticles on pterygoid"
20,"Anderson_2007.xml_07ea47b9-054e-4a6b-8cd0-8e3c0a68809d.xml","07ea47b9-054e-4a6b-8cd0-8e3c0a68809d","f9e4fc85-0834-4c26-94ea-8ce363d92ea3","absent","denticle","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","absent","absent","PATO:0000462","","","","","","","","pterygoid","","","","Denticles on pterygoid"
21,"Anderson_2007.xml_07ea47b9-054e-4a6b-8cd0-8e3c0a68809d.xml","07ea47b9-054e-4a6b-8cd0-8e3c0a68809d","f9e4fc85-0834-4c26-94ea-8ce363d92ea3","absent","pterygoid","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","absent","absent","PATO:0000462","","","","","","","","pterygoid","pterygoid","http://purl.obolibrary.org/obo/UBERON:3000521","","Denticles on pterygoid"
22,"Anderson_2007.xml_0980693e-0693-45ca-b655-741c48890778.xml","0980693e-0693-45ca-b655-741c48890778","0f0ae168-c2b9-4015-8a2b-f3e97dbce92a","reduced","Surangular","","","reduced","present in fewer numbers in organism","PATO:0001997","","","","","","","","","","","","Surangular"
23,"Anderson_2007.xml_0980693e-0693-45ca-b655-741c48890778.xml","0980693e-0693-45ca-b655-741c48890778","2a4873e2-6efd-4caa-bebd-c557b0689284","absent","Surangular","","","absent","absent","PATO:0000462","","","","","","","","","","","","Surangular"
24,"Anderson_2007.xml_0980693e-0693-45ca-b655-741c48890778.xml","0980693e-0693-45ca-b655-741c48890778","a1ddcfa0-8046-4db3-878b-ebfe426d3463","normal","Surangular","","","normal","normal","PATO:0000461","","","","","","","","","","","","Surangular"
25,"Anderson_2007.xml_09d4faa1-b631-4869-b2a0-211f1e5440b2.xml","09d4faa1-b631-4869-b2a0-211f1e5440b2","114d4f95-c821-41ca-a9e1-df82ab38d386","shorter","hemal arche","","","shorter","decreased length;decreased height","PATO:0000574;PATO:0000569","","","","","neural spine","spinous process of vertebra","http://purl.obolibrary.org/obo/UBERON:0001076","","","","","Hemal arche to neural spine length"
