File	Character Number	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
Baldwin_Johnson_1996.xml	1	Second Epibranchial Uncinate Process	0	Epibranchial 2 uncinate process absent	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000462	absent			
Baldwin_Johnson_1996.xml	1	Second Epibranchial Uncinate Process	1	EB2 uncinate process present and enlarged; PB2 displaced posterolaterally (except in some paralepidids)	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000586	increased size			
Baldwin_Johnson_1996.xml	1	Second Epibranchial Uncinate Process	1	EB2 uncinate process present and enlarged; PB2 displaced posterolaterally (except in some paralepidids)	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000140	position			
Baldwin_Johnson_1996.xml	1	Second Epibranchial Uncinate Process	2	EB2 uncinate process present, but not enlarged; PB2 displaced posterolaterally	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000117	size			
Baldwin_Johnson_1996.xml	1	Second Epibranchial Uncinate Process	2	EB2 uncinate process present, but not enlarged; PB2 displaced posterolaterally	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000140	position			
Baldwin_Johnson_1996.xml	2	Cartilaginous Condyle on Dorsal Surface of Third Pharyngobranchial	0	PB3 with cartilaginous condyle articulating with EB2	UBERON_0009979 and (BFO_0000050 some UBERON_2001912)	condyle and (part of some pharyngobranchial 3 element)	PATO_0001449	cartilaginous			
Baldwin_Johnson_1996.xml	2	Cartilaginous Condyle on Dorsal Surface of Third Pharyngobranchial	0	PB3 with cartilaginous condyle articulating with EB2	UBERON_0009979 and (BFO_0000050 some UBERON_2001912)	condyle and (part of some pharyngobranchial 3 element)	PATO_0002278	articulated with	UBERON_2001906	epibranchial 2 element	
Baldwin_Johnson_1996.xml	2	Cartilaginous Condyle on Dorsal Surface of Third Pharyngobranchial	1	PB3 without cartilaginous condyle articulating with EB2	UBERON_0009979 and (BFO_0000050 some UBERON_2001912)	condyle and (part of some pharyngobranchial 3 element)	PATO_0000462	absent			
Baldwin_Johnson_1996.xml	3	Fourth Pharyngobranchial Toothplate	0	UP4 present	UBERON_2001654	upper pharyngeal 4 tooth plate	PATO_0000467	present			
Baldwin_Johnson_1996.xml	3	Fourth Pharyngobranchial Toothplate	1	UP4 absent	UBERON_2001654	upper pharyngeal 4 tooth plate	PATO_0000462	absent			
Baldwin_Johnson_1996.xml	4	Articulation of First Pharyngobranchial	0	PB1 articulates at distal tip of EB1	UBERON_2001635	pharyngobranchial 1 bone	PATO_0002278	articulated with	BSPO_0000062 and (BFO_0000050 some UBERON_2001243)	distal side and (part of some epibranchial 1 bone)	
Baldwin_Johnson_1996.xml	4	Articulation of First Pharyngobranchial	1	PB1 articulates at proximal base of cartilaginous tip of EB1	UBERON_2001635	pharyngobranchial 1 bone	PATO_0002278	articulated with	UBERON_2001956	epibranchial 1 bone proximal cartilage	
Baldwin_Johnson_1996.xml	5	Gill Rakers or Toothplates	0	Gill rakers long, lathlike	UBERON_2000356	gill raker	PATO_0000573	increased length			
Baldwin_Johnson_1996.xml	5	Gill Rakers or Toothplates	0	Gill rakers long, lathlike	UBERON_2000356	gill raker	PATO_0002467	lathlike			
Baldwin_Johnson_1996.xml	5	Gill Rakers or Toothplates	1	Gill rakers present as toothplates	UBERON_2000356	gill raker	PATO_0000141	structure			
Baldwin_Johnson_1996.xml	5	Gill Rakers or Toothplates	2	Single elongate gill raker on EB1	UBERON_2000356 and (BFO_0000050 some UBERON_2001243)	gill raker and (part of some epibranchial 1 bone)	PATO_0000070	count			
Baldwin_Johnson_1996.xml	5	Gill Rakers or Toothplates	2	Single elongate gill raker on EB1	UBERON_2000356 and (BFO_0000050 some UBERON_2001243)	gill raker and (part of some epibranchial 1 bone)	PATO_0001154	elongated			
Baldwin_Johnson_1996.xml	6	Second Pharyngobranchial with Extra Uncinate Process	0	PB2 without extra uncinate process	UBERON_0004529 and (BFO_0000050 some UBERON_2001250)	anatomical projection and (part of some pharyngobranchial 2 bone)	PATO_0000462	absent			
Baldwin_Johnson_1996.xml	6	Second Pharyngobranchial with Extra Uncinate Process	1	PB2 without extra uncinate process but with an expanded proximal base	UBERON_0004529 and (BFO_0000050 some UBERON_2001250)	anatomical projection and (part of some pharyngobranchial 2 bone)	PATO_0000462	absent			
