File	Character Number	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label						File	Character Number	Character Label												File	Character Number	Character Label															pectoral girdle (more than one element)				scapula			coracoid					clavicle				interclavicle				cliethrum				sternum				humerus				ulna				radius			carpals					metacarpals				phalanges		pelvic girdle (more than one element)			ilium			pubis		ischium		femur		tibia		fibula		tarsal					metatarsals				phalanges				digits		
Cannatella_1985.xml	25	CARPAL4 - Carpal bones: Fusion of pre- and postaxial centrale	0	free	124d00c4-994a-4a31-9876-cdd802a38752 and (BFO_0000050 some UBERON_0012131)	124d00c4-994a-4a31-9876-cdd802a38752 and (part of some centrale)	PATO_0001505	separated from						Lathrop_1997.xml	30	 Shape of inner metatarsal tubercle (SPADTUB2)												Lathrop_1997.xml	30	 Shape of inner metatarsal tubercle (SPADTUB2)										Zhu_etal_2009.xml	123	"Dorsal cleithrum (AL of the Placodermi), ventral cleithrum (AVL of the Placodermi) and  pectoral spine (SP of the Placodermi)"										Evans_et_al_2008.xml	49	Coracoid			Carroll_2007.xml	63	Clavicle						Ruta_2003.xml	225	CLE 1 - T-shaped dorsal expansion of cleithrum						Ruta_2011.xml	54	Accessory foramina on humerus									Drewes_1984.xml	26	Carpal and tarsal fusion																																						Ruta_2003.xml	313	DIG 1 - digits
Cannatella_1985.xml	25	CARPAL4 - Carpal bones: Fusion of pre- and postaxial centrale	1	fused 	124d00c4-994a-4a31-9876-cdd802a38752 and (BFO_0000050 some UBERON_0012131)	124d00c4-994a-4a31-9876-cdd802a38752 and (part of some centrale)	PATO_0000642	fused with						Maisey_1981.xml	111	(av.) Continuous dorsal fin												Maisey_1981.xml	111	(av.) Continuous dorsal fin										Zhu_etal_2009.xml	124	Dorsal end of cleithrum or dorsal cleithrum										Benson_2012.xml	186	"Coracoid (posterior coracoid), triceps process"			Henrici_2009.xml	30	Clavicle 						Ruta_2003.xml	226	CLE 2 - Cleithrum						Anderson_2001.xml	162	deltapectoral crest									Scott_2005.xml	103	Carpal state sensu Laurent and Fabrezi (1990)									Gauthier_etal_1988.xml	177	Acetabulum														Laurin_Reisz_and_Sumida 1997.xml	148	Astragalus											Ruta_2003.xml	314	DIG 2 - no more than four digits in manus
de_Carvalho_1996.xml	39	Pectoral fin 	0	tribasal 	1ce9a9ed-b2f7-4054-b295-fd952cacc299	1ce9a9ed-b2f7-4054-b295-fd952cacc299	PATO_0001505	separated from						Maisey_1981.xml	114	(bii.) Paired fins												Maisey_1981.xml	114	(bii.) Paired fins										Zhu_etal_2009.xml	142	Epichordal lepidotrichia in caudal fin										OConnor_etal.xml	83	Coracoid and scapula articulation			Baez_Harrison_2005.xml	48	clavicle ? scapula						Ruta_2003.xml	227	CLE 3 - Cleithrum co-ossified 						Swartz_2012.xml	163	Deltoid and supinator process on humerus									Baez_Moura_Gomez_2009.xml	65	Carpal torsion																									Nesbitt_2011.xml	370	"Astragalus-calcaneum, articulation:  "											Ruta_2003.xml	315	DIG 3 - no more than five digits in manus
de_Carvalho_1996.xml	39	Pectoral fin 	2	mesopterygium and metapterygium fused	1ce9a9ed-b2f7-4054-b295-fd952cacc299	1ce9a9ed-b2f7-4054-b295-fd952cacc299	PATO_0000642	fused with						Maisey_1981.xml	115	(biii.) Anal fin												Maisey_1981.xml	115	(biii.) Anal fin										Zhu_etal_2009.xml	143	Fringing fulcra										Lund_Grogan_2004_euchondrocephala.xml	71	coracoid length			Cloutier_Arratia_2004.xml	150	"Clavicle (LUND et al. 1995, char. 66; COATES 1999, char. 53; LUND 2000, char. 51,52 in part; ZHU & SCHULTZE 2001, char. 167; LUND & POPLIN 2002, char. 49 in part)"						Daeschler_etal_2006.xml	106	Cleithral ornamentation						Chang_2004.xml	117	Deltoid and supinator processes									Cannatella_1985.xml	22	CARPAL1 - Carpal bones: fusion of ulnare and postaxial centrale																									Nesbitt_2011.xml	369	"Astragalus-calcaneum, ossified astragalo-calaneal canal:"											Ruta_2003.xml	316	DIG 4 - no more than three digits in manus
de_Carvalho_1996.xml	39	Pectoral fin 	3	all three basals fused	1ce9a9ed-b2f7-4054-b295-fd952cacc299	1ce9a9ed-b2f7-4054-b295-fd952cacc299	PATO_0000642	fused with						Maisey_1981.xml	19	(C11.) Median fin-fold (involving neural crest in craniates)												Maisey_1981.xml	19	(C11.) Median fin-fold (involving neural crest in craniates)										Zhu_etal_2009.xml	134	Pelvic fin										Gauthier_etal_1988.xml	148	Coracoid ossification(s)			Ruta_and_Bolt_2006.xml	198	Clavicle 3						Laurin_Reisz_and_Sumida 1997.xml	127	Cleithrum						Ruta_2011.xml	76	Deltoid process 									Cannatella_1985.xml	23	CARPAL2 - Carpal bones: fusion of carpalia 3 and 4 to postaxial centrale																									Martinez_2011.xml	120	"Astragalus-calcaneum, suture and mutual processes"											Nesbitt_2011.xml	252	Digit I with metacarpal:
Laurin_1998.xml	132	Anterior humeral ridge	0	present	30b1b756-1aa6-463f-8bfa-9ee77cef44de	30b1b756-1aa6-463f-8bfa-9ee77cef44de	PATO_0000467	present						Maisey_1981.xml	117	(cii.) Endoskeletal fin radials												Maisey_1981.xml	117	(cii.) Endoskeletal fin radials										Zhu_etal_2009.xml	125	Posterior process of cleithrum or pectoral spine										Daeschler_etal_2006.xml	103	Coracoid plate			Ruta_and_Coates_2007.xml	239	Clavicle 3 Clavicles meet anteriorly						Gauthier_etal_1988.xml	151	Cleithrum 						Anderson_2007.xml	162	Deltopectoral crest									Cannatella_1985.xml	24	CARPAL3 - Carpal bones: Presence/absence of distal carpalia 2 and 3																									Nesbitt_2011.xml	368	"Astragalus-calcaneum, ventral articular surface:"											OConnor_etal.xml	240	"Digit IV phalanges in distal view, medial trochlear rim enlarged with respect to lateral trochlear rim"
Laurin_1998.xml	132	Anterior humeral ridge	1	absent	30b1b756-1aa6-463f-8bfa-9ee77cef44de	30b1b756-1aa6-463f-8bfa-9ee77cef44de	PATO_0000462	absent						Maisey_1981.xml	118	(ciii.) Dermal fin-rays in tail												Maisey_1981.xml	118	(ciii.) Dermal fin-rays in tail										Zhu_etal_2009.xml	129	Subscapular foramen/fossa										Holland_2013.xml	77	Coracoid plate 			Ford_1990.xml	85	"clavicle and scapula, suture between"						Ruta_and_Coates_2007.xml	236	Cleithrum 1 T-shaped dorsal expansion of cleithrum						Ruta_and_Bolt_2006.xml	205	Humerus 1									Cannatella_1985.xml	25	CARPAL4 - Carpal bones: Fusion of pre- and postaxial centrale																									Martinez_2011.xml	123	"Astragalus, (anterior) ascending process, fibular articulation, orientation"											Ford_1990.xml	113	Digital sesamoids
Vallin_Laurin_2004.xml	131	Anterior humeral ridge	0	present	30b1b756-1aa6-463f-8bfa-9ee77cef44de	30b1b756-1aa6-463f-8bfa-9ee77cef44de	PATO_0000467	present						Maisey_1981.xml	119	(civ.) Paired fins extending posteriorly to cloacal region												Maisey_1981.xml	119	(civ.) Paired fins extending posteriorly to cloacal region										Zhu_etal_1999(CloutierAhlberg).xml	129	Anterior dorsal fin support										Brazeau_2009.xml	112	Coracoid process			Ruta_2011.xml	13	Clavicle anterolateral groove on its plate						Ruta_and_Coates_2007.xml	237	Cleithrum 2						Ruta_and_Bolt_2006.xml	213	Humerus 10									Anderson_2001.xml	167	carpals																									Martinez_2011.xml	124	"Astragalus, (anterior) ascending process, shape"											Scott_2005.xml	106	Digital subarticular sesamoids of hand
Vallin_Laurin_2004.xml	131	Anterior humeral ridge	1	absent	30b1b756-1aa6-463f-8bfa-9ee77cef44de	30b1b756-1aa6-463f-8bfa-9ee77cef44de	PATO_0000462	absent						Maisey_1981.xml	68	"(E20.) ""True"" dorsal, anal, caudal fins"												Maisey_1981.xml	68	"(E20.) ""True"" dorsal, anal, caudal fins"										Zhu_etal_1999(CloutierAhlberg).xml	128	Basal plates in dorsal fin supports										Gao_Wang_2001.xml	50	Coracoid shape			Cloutier_Arratia_2004.xml	152	"Clavicle contact (LUND et al. 1995, char. 67)"						Ruta_and_Coates_2007.xml	238	Cleithrum 3 Cleithrum co-ossified with scapulocoracoid						Ruta_and_Bolt_2006.xml	214	Humerus 11									OLeary_et_al_2013.xml	3150	"Carpus, Centrale, presence"																									Nesbitt_2011.xml	356	"Astragalus, anterior ascending flange (anterior process):"											Clack_etal_2012.xml	96	Digits
Ruta_2011.xml	113	Anterior distal condyle 	0	wider	3727eb73-4a56-4eb6-a19c-1c59388f305f	3727eb73-4a56-4eb6-a19c-1c59388f305f	PATO_0000600	increased width						Maisey_1981.xml	79	"(F10.) Perichondrally mineralized neural and haemal elements, and radials of median fins"												Maisey_1981.xml	79	"(F10.) Perichondrally mineralized neural and haemal elements, and radials of median fins"										Zhu_etal_1999(CloutierAhlberg).xml	131	Basal scutes on fins										Baez_Basso_1996.xml	43	Coracoid shape 			Baez_Moura_Gomez_2009.xml	55	Clavicle orientation						Ruta_2011.xml	3	"Cleithrum anterior margin, in lateral aspect, inclined posteriorly "						Ruta_and_Bolt_2006.xml	215	Humerus 12									OLeary_et_al_2013.xml	3168	"Carpus, Pisiform, presence"																									Nesbitt_2011.xml	357	"Astragalus, anterior hollow:"											Ruta_and_Bolt_2006.xml	244	Digits 1
