File	Character Number	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
Albert_Campos_1998.xml	15	Middorsal scales	0	present	UBERON_0002542	scale					
Albert_Campos_1998.xml	138	Size of sympletic	0	smaller than hyomandibula	UBERON_2000692	symplectic	PATO_0000117	size			
Albert_Campos_1998.xml	138	Size of sympletic	1	larger than hyomandibula	UBERON_2000692	symplectic	PATO_0000117	size			
Albert_Campos_1998.xml	139	Orientation of hyomandibula	0	oblique to head	UBERON_0011606	hyomandibular bone	PATO_0000133	orientation			
Albert_Campos_1998.xml	139	Orientation of hyomandibula	1	parallel to head	UBERON_0011606	hyomandibular bone	PATO_0000133	orientation			
Albert_Campos_1998.xml	140	Hyomandibular articulation	0	proximal head broad	UBERON_0011606	hyomandibular bone	PATO_0000052	shape			
Albert_Campos_1998.xml	140	Hyomandibular articulation	1	proximal head narrow	UBERON_0011606	hyomandibular bone	PATO_0000052	shape			
Albert_Campos_1998.xml	145	Number of branchiostegal rays	0	3-4	UBERON_2000476	branchiostegal ray	PATO_0000070	count			
Albert_Campos_1998.xml	145	Number of branchiostegal rays	2	more than 7	UBERON_2000476	branchiostegal ray	PATO_0000070	count			
Albert_Campos_1998.xml	145	Number of branchiostegal rays	1	5-6	UBERON_2000476	branchiostegal ray	PATO_0000070	count			
Albert_Campos_1998.xml	146	Morphology of branchiostegal rays	0	anterior 1-2 rays broad	UBERON_2000476	branchiostegal ray	PATO_0000052	shape			
Albert_Campos_1998.xml	146	Morphology of branchiostegal rays	1	anterior rays narrow 	UBERON_2000476	branchiostegal ray	PATO_0000052	shape			
Albert_Campos_1998.xml	147	Gill rakers	0	contacting gill bar	UBERON_2000356	gill raker	PATO_0001961	in contact with			
Albert_Campos_1998.xml	147	Gill rakers	1	not contacting gill bar	UBERON_2000356	gill raker	PATO_0001505	separated from			
Albert_Campos_1998.xml	148	Gill raker tips	0	ossified	BSPO_0000671 and (BFO_0000050 some UBERON_2000356)	anterior margin and (part of some gill raker)	PATO_0001448	ossified			
Albert_Campos_1998.xml	148	Gill raker tips	1	not ossified	BSPO_0000671 and (BFO_0000050 some UBERON_2000356)	anterior margin and (part of some gill raker)					
Albert_Campos_1998.xml	149	Pharyngobranchial 3	0	present	UBERON_2001252	pharyngobranchial 3 bone	PATO_0000467	present			
Albert_Campos_1998.xml	149	Pharyngobranchial 3	1	absent	UBERON_2001252	pharyngobranchial 3 bone	PATO_0000462	absent			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	0	cartilaginous	UBERON_2001636	pharyngobranchial 4 bone	PATO_0000462	absent			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	0	cartilaginous			PATO_0000462	absent			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	0	cartilaginous	UBERON_2001251	pharyngobranchial 4 cartilage	PATO_0000467	present			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	0	cartilaginous			PATO_0000467	present			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	1	ossified	UBERON_2001636	pharyngobranchial 4 bone	PATO_0000467	present			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	1	ossified			PATO_0000467	present			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	1	ossified	UBERON_2001251	pharyngobranchial 4 cartilage	PATO_0000462	absent			
Albert_Campos_1998.xml	150	Pharyngobranchial 4 & 5	1	ossified			PATO_0000462	absent			
Albert_Campos_1998.xml	151	Pharyngobranchial plates	0	present			PATO_0000467	present			
Albert_Campos_1998.xml	151	Pharyngobranchial plates	1	absent			PATO_0000462	absent			
Albert_Campos_1998.xml	152	Epibranchial 5	1	with short posterior process	UBERON_2001244	epibranchial 5 cartilage					
Castro_Vari_2004.xml	1	Condition of the basal portions of the gill filaments	1	ossified	BSPO_0000074 and (BFO_0000050 some UBERON_0009120)	basal region and (part of some gill filament)	PATO_0001448	ossified			
Castro_Vari_2004.xml	1	Condition of the basal portions of the gill filaments	0	unossified	BSPO_0000074 and (BFO_0000050 some UBERON_0009120)	basal region and (part of some gill filament)					
Castro_Vari_2004.xml	2	Relative width of basal portion of first infrapharyngobranchial	1	expanded and in contact with second epibranchial	BSPO_0000074 and (BFO_0000050 some UBERON_2001635)	basal region and (part of some pharyngobranchial 1 bone)	PATO_0000600	increased width			
Castro_Vari_2004.xml	2	Relative width of basal portion of first infrapharyngobranchial	1	expanded and in contact with second epibranchial	UBERON_2001635	pharyngobranchial 1 bone	PATO_0001961	in contact with	UBERON_2001246	epibranchial 2 bone	
Castro_Vari_2004.xml	2	Relative width of basal portion of first infrapharyngobranchial	0	not expanded and not in contact with second epibranchial	UBERON_2001635	pharyngobranchial 1 bone	PATO_0001505	separated from	UBERON_2001246	epibranchial 2 bone	
Castro_Vari_2004.xml	2	Relative width of basal portion of first infrapharyngobranchial	0	not expanded and not in contact with second epibranchial	BSPO_0000074 and (BFO_0000050 some UBERON_2001635)	basal region and (part of some pharyngobranchial 1 bone)	PATO_0000052	shape			
Castro_Vari_2004.xml	3	Form of the first infrapharyngobranchial	1	expanded and in contact with second epibranchial	UBERON_2001635	pharyngobranchial 1 bone	PATO_0000052	shape			
Castro_Vari_2004.xml	3	Form of the first infrapharyngobranchial	0	approximately straight or triangular	UBERON_2001635	pharyngobranchial 1 bone	PATO_0000052	shape			
Castro_Vari_2004.xml	4	Ossified first infrapharyngobranchial	1	absent	UBERON_2001635	pharyngobranchial 1 bone	PATO_0000462	absent			
Castro_Vari_2004.xml	4	Ossified first infrapharyngobranchial	0	present	UBERON_2001635	pharyngobranchial 1 bone	PATO_0000467	present			
Castro_Vari_2004.xml	5	Posterolaterally oriented process that arises from base of uncinate process of first epibranchial	0	absent	UBERON_0004529 and (BFO_0000050 some UBERON_2001797)	anatomical projection and (part of some epibranchial 1 bone uncinate process)	PATO_0000462	absent			
Castro_Vari_2004.xml	5	Posterolaterally oriented process that arises from base of uncinate process of first epibranchial	1	present	UBERON_0004529 and (BFO_0000050 some UBERON_2001797)	anatomical projection and (part of some epibranchial 1 bone uncinate process)	PATO_0000467	present			
Castro_Vari_2004.xml	6	Degree of development of posterolaterally oriented process that arises from base of uncinate process of first epibranchial	1	highly developed into laterally directed, horizontally aligned, flange-like process	UBERON_0004529 and (BFO_0000050 some UBERON_2001797)	anatomical projection and (part of some epibranchial 1 bone uncinate process)	PATO_0000586	increased size			
Castro_Vari_2004.xml	6	Degree of development of posterolaterally oriented process that arises from base of uncinate process of first epibranchial	0	moderately developed	UBERON_0004529 and (BFO_0000050 some UBERON_2001797)	anatomical projection and (part of some epibranchial 1 bone uncinate process)	PATO_0000587	decreased size			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	1	with series of serrae at various body sizes and with serrae and porthole-like openings in larger specimens	BSPO_0000686 and (BFO_0000050 some UBERON_2001243)	antero-dorsal margin and (part of some epibranchial 1 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	1	with series of serrae at various body sizes and with serrae and porthole-like openings in larger specimens	BSPO_0000686 and (BFO_0000050 some UBERON_2001246)	antero-dorsal margin and (part of some epibranchial 2 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	1	with series of serrae at various body sizes and with serrae and porthole-like openings in larger specimens	BSPO_0000686 and (BFO_0000050 some UBERON_2001247)	antero-dorsal margin and (part of some epibranchial 3 bone)	PATO_0001206	serrated			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	0	approximately smooth	BSPO_0000686 and (BFO_0000050 some UBERON_2001243)	antero-dorsal margin and (part of some epibranchial 1 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	0	approximately smooth	BSPO_0000686 and (BFO_0000050 some UBERON_2001246)	antero-dorsal margin and (part of some epibranchial 2 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	7	Form of anterodorsal margins of first through third epibranchials	0	approximately smooth	BSPO_0000686 and (BFO_0000050 some UBERON_2001247)	antero-dorsal margin and (part of some epibranchial 3 bone)	PATO_0000701	smooth			
Castro_Vari_2004.xml	8	Form of anterior surface of uncinate process of second epibranchial	1	with distinct ridge-like process	BSPO_0000371 and (BFO_0000050 some UBERON_2001796)	anterior surface and (part of some epibranchial 2 bone uncinate process)	PATO_0000467	present			
Castro_Vari_2004.xml	8	Form of anterior surface of uncinate process of second epibranchial	0	unelaborated	UBERON_0004529 and (BFO_0000050 some (BSPO_0000371 and (BFO_0000050 some UBERON_2001796)))	anatomical projection and (part of some (anterior surface and (part of some epibranchial 2 bone uncinate process)))	PATO_0000462	absent			
Castro_Vari_2004.xml	9	Cartilage-capped articular surface of uncinate process on second epibranchial	1	vertically expanded	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000052	shape			
Castro_Vari_2004.xml	9	Cartilage-capped articular surface of uncinate process on second epibranchial	0	not vertically expanded	UBERON_2001796	epibranchial 2 bone uncinate process	PATO_0000052	shape			
Castro_Vari_2004.xml	10	Degree of development of the primitively medial portion of the fourth upper pharyngeal tooth plate	0	fourth upper pharyngeal tooth plate limited to the ventral and posterior surfaces of fourth infrapharyngobranchial	UBERON_2001654	upper pharyngeal 4 tooth plate	PATO_0000052	shape			
Castro_Vari_2004.xml	10	Degree of development of the primitively medial portion of the fourth upper pharyngeal tooth plate	1	fourth upper pharyngeal tooth plate covers ventral, posterior, dorsal, and sometimes anterior surfaces of fourth infrapharyngobranchial	UBERON_2001654	upper pharyngeal 4 tooth plate	PATO_0000052	shape			
Castro_Vari_2004.xml	11	Degree of development of the ventral portion of the fourth epibranchial	1	highly developed into slightly medially curving, proportionally more posteriorly elongate process	UBERON_2001245	epibranchial 4 bone	PATO_0000052	shape			
