?matrix_file	?character_number	?character_text	?state_symbol	?state_text	?entity_id	?entity_name	?quality_id	?quality_name	?related_entity_id	?related_entity_name	?attributes
Johanson_2004.xml	9	Ventral lamina of cleithrum broader than dorsal	1	yes	http://purl.org/phenoscape/uuid/14903e60-451e-4fb8-9dfb-b1277665ef2a	[anatomical projection and (part_of some (ventral region and (part_of some cleithrum)))]	http://purl.obolibrary.org/obo/PATO_0000600	increased width	http://purl.org/phenoscape/uuid/1773f6a1-c266-4160-acd7-0d38caca1789	[anatomical projection and (part_of some (dorsal region and (part_of some cleithrum)))]	size
vari-1995.xml	52	Ectopterygoid teeth	1	in two or three irregular rows, with teeth approximately one-half size of jaw teeth	http://purl.obolibrary.org/obo/UBERON_2001632	ectopterygoid tooth	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.org/phenoscape/uuid/d89a0d40-66b3-4a99-8c25-d2f39c0dd57c	[calcareous tooth and (part_of some jaw skeleton)]	size
vari-1995.xml	52	Ectopterygoid teeth	0	not as in 1 [state 1 is: in two or three irregular rows, with teeth approximately one-half size of jaw teeth]	http://purl.obolibrary.org/obo/UBERON_2001632	ectopterygoid tooth	http://purl.obolibrary.org/obo/PATO_0000117	size	http://purl.org/phenoscape/uuid/288615ba-1883-4408-8241-9d66402bdc6e	[calcareous tooth and (part_of some jaw skeleton)]	size
Albert_2001.xml	125	Pacemaker nucleus	1	pacemaker nucleus large, visible as a median, ovoid eminence on ventral surface of medulla; its ventral margin extending to medullary surface	http://purl.obolibrary.org/obo/UBERON_2002107	medullary command nucleus	http://purl.obolibrary.org/obo/PATO_0001961	in contact with	http://purl.obolibrary.org/obo/UBERON_0001896	medulla oblongata	structure
vari-1995.xml	85	Adductor mandibulae muscle	1	arising in part from sphenotic spine	http://purl.obolibrary.org/obo/UBERON_2000311	adductor mandibulae complex	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001615	sphenotic spine	structure
vari-1995.xml	85	Adductor mandibulae muscle	0	not arising from sphenotic spine	http://purl.obolibrary.org/obo/UBERON_2000311	adductor mandibulae complex	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001615	sphenotic spine	structure
Lundberg_1992.xml	110	Posterior dentation bases	3	most dentations arise only from dorsal half of spine shaft	http://purl.obolibrary.org/obo/UBERON_2002000	posterior dentation of pectoral fin spine	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001787	pectoral fin spine	structure
Anderson_2001.xml	128	trunk neural arches	1	fused	http://purl.org/phenoscape/uuid/98026bc6-c1f2-456b-b66b-71805ac91dad	[neural arch and (in_left_side_of some trunk vertebra)]	http://purl.obolibrary.org/obo/PATO_0000642	fused with	http://purl.org/phenoscape/uuid/7ff6abe4-d736-4fe3-8df7-a71a9c7091b6	[neural arch and (in_right_side_of some trunk vertebra)]	structure
Smith_1992.xml	130	Ninth cranial nerve exit	1	through exoccipital	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/UBERON_0001693	exoccipital bone	position
Smith_1992.xml	130	Ninth cranial nerve exit	0	between exoccipital and prootic	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/UBERON_0001693	exoccipital bone	position
Smith_1992.xml	130	Ninth cranial nerve exit	0	between exoccipital and prootic	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/UBERON_0004746	prootic bone	position
Smith_1992.xml	130	Ninth cranial nerve exit	1	through exoccipital	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_0001693	exoccipital bone	structure
Lundberg_1992.xml	110	Posterior dentation bases	0	dentation halves arise equally from dorsal and ventral halves of spine shaft	http://purl.obolibrary.org/obo/UBERON_2002000	posterior dentation of pectoral fin spine	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001787	pectoral fin spine	structure
Lundberg_1992.xml	110	Posterior dentation bases	2	many proximal dentations arise only from dorsal half of spine shaft	http://purl.obolibrary.org/obo/UBERON_2002000	posterior dentation of pectoral fin spine	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001787	pectoral fin spine	structure
Lundberg_1992.xml	110	Posterior dentation bases	1	few proximal dentations arise only from dorsal half of spine shaft	http://purl.obolibrary.org/obo/UBERON_2002000	posterior dentation of pectoral fin spine	http://purl.obolibrary.org/obo/PATO_0000141	structure	http://purl.obolibrary.org/obo/UBERON_2001787	pectoral fin spine	structure
Armbruster_2004.xml	11	Connections of ceratobranchial 5	0	the fifth ceratobranchials do not contact one another mesially, and the teeth are fine	http://purl.org/phenoscape/uuid/a570f0ce-579e-4ae2-b01e-0ff627f25490	[ceratobranchial 5 bone and (in_left_side_of some multi-cellular organism)]	http://purl.obolibrary.org/obo/PATO_0001505	separated from	http://purl.org/phenoscape/uuid/6223fae1-7a86-4c26-b3b1-bc76ec319606	[ceratobranchial 5 bone and (in_right_side_of some multi-cellular organism)]	structure
Ruta_2011.xml	64	Humerus ends	1	or offset	http://purl.obolibrary.org/obo/UBERON_0004404	distal epiphysis of humerus	http://purl.obolibrary.org/obo/PATO_0002436	offset	http://purl.obolibrary.org/obo/UBERON_0004411	proximal epiphysis of humerus	position
Arratia_1999.xml	2	Parietal bones fused in a median element	1	present	http://purl.org/phenoscape/uuid/8b247162-99f5-4f23-bb4f-f5bc23342914	[actinopterygian parietal bone and (in_right_side_of some multi-cellular organism)]	http://purl.obolibrary.org/obo/PATO_0000642	fused with	http://purl.org/phenoscape/uuid/2e4a2e71-f08f-4d9b-a1ba-7f24d502e2bb	[actinopterygian parietal bone and (in_left_side_of some multi-cellular organism)]	structure
Sawada_1982.xml	15	Connection between pterospheniod and prootic	1	absent	http://purl.obolibrary.org/obo/UBERON_2000419	pterosphenoid	http://purl.obolibrary.org/obo/PATO_0001505	separated from	http://purl.obolibrary.org/obo/UBERON_0004746	prootic bone	structure
Gao_Wang_2001.xml	48	Anterior overlap of clavicle on scapula	2	two elements fused	http://purl.obolibrary.org/obo/UBERON_0001105	clavicle	http://purl.obolibrary.org/obo/PATO_0000642	fused with	http://purl.obolibrary.org/obo/UBERON_0006849	scapula	structure
Fink_Fink_1981+1996.xml	80	Anteriormost two parapophyses	0	in otophysans, the anteriormost two parapophyses, when present, are fused to the centra	http://purl.obolibrary.org/obo/UBERON_2001393	parapophysis 2	http://purl.obolibrary.org/obo/PATO_0000642	fused with	http://purl.obolibrary.org/obo/UBERON_2001984	centrum 2	structure
Cavender&Coburn_1992.xml	32	Lateral line	0	lateral line running along midline of caudal peduncle	http://purl.obolibrary.org/obo/UBERON_0010202	lateral line	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/UBERON_2000178	caudal peduncle	position
