?matrix_label	?char_number	?char_label	?symbol	?state_label	?entity	?entity_label	?quality	?quality_label	?related_entity	?related_entity_label	?attributes
Vigliotta_2008.xml	91	Size of opercular openings	1	opercular openings largely restricted to sides of head	<http://purl.obolibrary.org/obo/UBERON_2000319>	branchiostegal membrane	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0000033>	head	structure
Vigliotta_2008.xml	91	Size of opercular openings	0	opercular openings open to isthmus ventrally	<http://purl.obolibrary.org/obo/UBERON_2000319>	branchiostegal membrane	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_0000033>	head	structure
Imamura_etal_2005.xml	24	First and second hypurals	0	autogenous	<http://purl.obolibrary.org/obo/UBERON_2001560>	hypural 1	<http://purl.obolibrary.org/obo/PATO_0001505>	separated from	<http://purl.obolibrary.org/obo/UBERON_2001561>	hypural 2	structure
OConnor_etal.xml	223	Proximal end of metatarsal III	0	in the same plane as metatarsals II and IV	<http://purl.org/phenoscape/uuid/6c15674b-2e86-48c3-aec7-2aaa4b104030>	[proximal epiphysis of metatarsal bone and (part_of some metatarsal bone of digit 3)]	<http://purl.obolibrary.org/obo/PATO_0002443>	level with	<http://purl.obolibrary.org/obo/UBERON_0003651>	metatarsal bone of digit 2	position
OConnor_etal.xml	214	Tibia/tarsal-formed condyles, mediolateral widths	2	lateral condyle wider	<http://purl.org/phenoscape/uuid/94ea5cc7-de01-401d-a282-513227b8739b>	[width and (inheres_in some medial condyle of tibia)]	<http://purl.obolibrary.org/obo/PATO_0000587>	decreased size	<http://purl.org/phenoscape/uuid/68188758-8a37-4fa8-a9e1-bf19ad243144>	[width and (inheres_in some lateral condyle of tibia)]	size
Wiley_etal_2000.xml	37	Parahypural	0	articulating with first preural centrum	<http://purl.obolibrary.org/obo/UBERON_2000438>	parhypural	<http://purl.obolibrary.org/obo/PATO_0000141>	structure	<http://purl.obolibrary.org/obo/UBERON_2000557>	preural 1 vertebra	structure
Ishii_Imamura_2007.xml	7	Sphenotic and sixth infraorbital	0	firmly attached	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	<http://purl.obolibrary.org/obo/PATO_0001667>	attached to	<http://purl.obolibrary.org/obo/UBERON_2001674>	infraorbital 6	structure
Carroll_2007.xml	86	Sutures	1	distinct sutural contacts between ilium, ischium, and pubis (if present)	<http://purl.obolibrary.org/obo/UBERON_0001273>	ilium	<http://purl.obolibrary.org/obo/PATO_0002469>	sutured to	<http://purl.obolibrary.org/obo/UBERON_0001274>	ischium	structure
Carroll_2007.xml	86	Sutures	1	distinct sutural contacts between ilium, ischium, and pubis (if present)	<http://purl.obolibrary.org/obo/UBERON_0001273>	ilium	<http://purl.obolibrary.org/obo/PATO_0002469>	sutured to	<http://purl.obolibrary.org/obo/UBERON_0001275>	pubis	structure
Royero_1999.xml	11	Lateral border of frontal	0	continuous with sphenotic	<http://purl.org/phenoscape/uuid/24ed9ca5-4019-48af-8d69-546be477f8e6>	[lateral margin and (part_of some actinopterygian frontal bone)]	<http://purl.obolibrary.org/obo/PATO_0000140>	position	<http://purl.obolibrary.org/obo/UBERON_2000587>	sphenotic	position
